,host_name,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,first_review,last_review,license,instant_bookable,host_id,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
0,Rebecca,2008-08-29,No location,within an hour,100%,1,Hyde Park,"['email', 'phone']",t,1,Neighborhood highlights,Hyde Park,8,1,1 shared bath,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Heating"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Fast wifi \u2013 576 Mbps"", ""Wine glasses"", ""Hangers"", ""Bathtub"", ""Long term stays allowed"", ""Free washer \u2013 In building"", ""Hot water kettle"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Free dryer \u2013 In building"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Coffee maker: drip coffee maker, french press, Keurig coffee machine"", ""40 inch HDTV with Roku"", ""Carbon monoxide alarm"", ""Piano"", ""Window AC unit"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Gas stove"", ""Housekeeping available 1 day a week - included with your stay"", ""Extra pillows and blankets"", ""Free street parking"", ""Blender"", ""Clothing storage: closet and dresser"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Dr. Bronner\u2019s Pur\u00e9 Castile Liquid Soap body soap"", ""Toaster oven single oven"", ""Microwave"", ""Hot water""]",t,2015-01-09,2024-09-12,R17000015609,0,2613,88.0,1.0,41.7879,-87.5878,1.0,1.0,1.0,1.0,125.0,3.0,89,3.0,89.0,13,43,73,345,31.2,19.0,1.0,4.99,4.98,4.99,4.99,4.98,4.95,4.94,2.08
3,Shay And Robert,2009-10-18,"Chicago, IL",within an hour,100%,0,Lincoln Park,"['email', 'phone']",t,1,Neighborhood highlights,Lincoln Park,12,1,1 private bath,"[""Shower gel"", ""First aid kit"", ""Building staff"", ""Self check-in"", ""Wifi"", ""Heating"", ""Shampoo"", ""Cleaning available during stay"", ""Hangers"", ""Free parking on premises"", ""Bathtub"", ""Room-darkening shades"", ""Central air conditioning"", ""Body soap"", ""Conditioner"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Hot water""]",t,2015-06-29,2024-05-27,R20000055258,0,46734,75.0,1.0,41.92357,-87.64947,3.0,1.0,1.0,1.0,339.0,2.0,10,2.0,10.0,19,42,72,162,16.0,1.0,0.0,4.94,4.69,5.0,5.0,5.0,5.0,4.81,0.14
5,Michael And Veronica,2011-01-03,"Chicago, IL",within an hour,100%,1,Ukrainian Village,"['email', 'phone']",t,0,Neighborhood highlights,West Town,1,1,1 shared bath,"[""Shower gel"", ""Refrigerator"", ""BBQ grill"", ""Wifi"", ""Heating"", ""Stove"", ""Breakfast"", ""Coffee"", ""Lock on bedroom door"", ""Shampoo"", ""Lake access"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""TV"", ""Paid parking off premises"", ""Central air conditioning"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Outdoor dining area"", ""Body soap"", ""Coffee maker"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Laundromat nearby"", ""Barbecue utensils"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Host greets you"", ""Baking sheet"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2011-05-23,2024-09-14,R23000108832,0,334241,96.0,3.0,41.89615,-87.67934,2.0,1.0,1.0,1.0,95.0,3.0,60,3.0,1125.0,8,33,63,243,122.0,17.0,2.0,4.88,4.93,4.75,4.96,4.94,4.84,4.84,0.75
13,Jillian,2011-09-17,"Chicago, IL",within an hour,100%,0,Logan Square,['phone'],t,1,Neighborhood highlights,Logan Square,4,1,1 shared bath,"[""Refrigerator"", ""First aid kit"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Stove"", ""Garden view"", ""Breakfast"", ""Dining table"", ""Lock on bedroom door"", ""Shampoo"", ""Coffee"", ""Dryer \u2013 In building"", ""Wine glasses"", ""Hangers"", ""Private patio or balcony"", ""Outdoor furniture"", ""TV with DVD player"", ""Central air conditioning"", ""Hot water kettle"", ""Outdoor dining area"", ""Washer"", ""Coffee maker"", ""Books and reading material"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Toaster"", ""Smoke alarm"", ""Free street parking"", ""Private backyard \u2013 Fully fenced"", ""Host greets you"", ""Freezer"", ""Kitchen"", ""Microwave"", ""Hot water""]",t,2012-07-24,2024-08-03,R20000054219,0,1173654,100.0,2.0,41.92589,-87.69737,1.0,1.0,1.0,1.0,91.0,2.0,10,2.0,10.0,0,0,15,105,30.0,6.0,0.0,4.93,4.97,4.97,5.0,4.97,5.0,4.93,0.2
14,Tippi,2011-09-29,"Chicago, IL",within a few hours,100%,1,Irving Park,"['email', 'phone']",t,1,Neighborhood highlights,Irving Park,4,1,1 shared bath,"[""Shower gel"", ""Paid parking on premises"", ""Refrigerator"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Heating"", ""Dryer"", ""Stove"", ""Dining table"", ""Lock on bedroom door"", ""Shampoo"", ""Coffee"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Private entrance"", ""Room-darkening shades"", ""TV"", ""Air conditioning"", ""Long term stays allowed"", ""Rice maker"", ""Hot water kettle"", ""Washer"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Coffee maker: Keurig coffee machine"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Keypad"", ""Blender"", ""Clothing storage: closet and dresser"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2011-10-11,2024-09-10,R22000094076,0,1224828,99.0,2.0,41.95758,-87.7271,2.0,1.0,1.0,1.0,65.0,2.0,14,2.0,14.0,9,28,58,74,31.2,21.0,3.0,4.81,4.87,4.84,4.93,4.9,4.79,4.77,1.18
17,Killian,2011-11-06,"Chicago, IL",within a few hours,100%,1,Edgewater,"['email', 'phone']",t,1,Neighborhood highlights,Edgewater,8,1,1 private bath,"[""Refrigerator"", ""First aid kit"", ""Wifi"", ""Heating"", ""Dryer"", ""Lake access"", ""Lock on bedroom door"", ""Hangers"", ""Air conditioning"", ""Long term stays allowed"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Host greets you"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2012-01-02,2024-08-24,R21000062931,0,1376077,78.0,1.0,41.97806,-87.65676,1.0,1.0,1.0,1.0,32.0,32.0,120,32.0,120.0,22,22,32,307,70.0,4.0,1.0,4.8,4.83,4.68,4.88,4.94,4.81,4.83,0.45
18,Patricia,2012-02-13,"Chicago, IL",within a day,100%,1,Kenwood,"['email', 'phone']",t,1,No specified,Kenwood,8,1,1 shared bath,"[""Wifi"", ""Heating"", ""Dryer"", ""Hot water"", ""Shampoo"", ""Air conditioning"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Essentials"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Indoor fireplace"", ""Host greets you"", ""Kitchen"", ""Breakfast""]",t,2012-03-27,2024-07-14,R22000076583,0,1746524,100.0,5.0,41.80774,-87.59459,2.0,1.0,1.0,1.0,115.0,2.0,7,2.0,7.0,11,37,67,342,31.2,10.0,0.0,4.96,4.96,4.98,4.96,4.98,4.88,4.9,1.9
25,Elizabeth,2012-07-09,"Chicago, IL",within an hour,100%,0,Lincoln Square,"['email', 'phone']",t,1,Neighborhood highlights,Lincoln Square,1,1,1 shared bath,"[""Refrigerator"", ""Self check-in"", ""Heating"", ""Shampoo"", ""Hangers"", ""Private entrance"", ""Bathtub"", ""Paid parking off premises"", ""Paid dryer \u2013 In building"", ""Long term stays allowed"", ""Fast wifi \u2013 151 Mbps"", ""Paid washer \u2013 In building"", ""Conditioner"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Baby safety gates"", ""Iron"", ""Private living room"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Keypad"", ""Ceiling fan"", ""Cooking basics"", ""Hot water""]",t,2012-08-06,2024-08-31,R17000015627,0,2880338,96.0,8.0,41.96528,-87.6831,2.0,1.0,1.0,1.0,45.0,32.0,90,32.0,90.0,8,38,68,157,54.0,2.0,1.0,4.55,4.58,4.9,4.62,4.9,4.71,4.45,0.37
26,Felice,2012-07-12,"Chicago, IL",within a few hours,100%,1,Edgewater,"['email', 'phone']",t,1,Neighborhood highlights,Edgewater,8,1,1 shared bath,"[""Refrigerator"", ""Wifi"", ""Heating"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Air conditioning"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Kitchen"", ""Microwave"", ""Hot water""]",t,2012-09-04,2024-09-02,R22000091618,0,2915265,78.0,2.0,41.99688,-87.66449,2.0,1.0,1.0,1.0,70.0,3.0,14,3.0,14.0,10,37,67,342,136.0,17.0,3.0,4.9,4.93,4.88,4.94,4.96,4.95,4.89,0.93
28,Jeff,2012-07-04,"Chicago, IL",within a few hours,93%,1,Not specified,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,Forest Glen,4,1,1 shared bath,"[""Refrigerator"", ""BBQ grill"", ""Backyard"", ""Dishwasher"", ""Heating"", ""Stove"", ""Dining table"", ""Lock on bedroom door"", ""Shampoo"", ""Coffee"", ""Cleaning available during stay"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""Bathtub"", ""Outdoor furniture"", ""Long term stays allowed"", ""Central air conditioning"", ""Rice maker"", ""Free washer \u2013 In building"", ""Hot water kettle"", ""Body soap"", ""Coffee maker"", ""Books and reading material"", ""Dishes and silverware"", ""Hair dryer"", ""Cleaning products"", ""Free dryer \u2013 In building"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Barbecue utensils"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Wifi \u2013 15 Mbps"", ""Indoor fireplace"", ""Blender"", ""Board games"", ""Clothing storage: closet and dresser"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",t,2013-02-07,2024-09-14,R21000075759,0,2824576,96.0,3.0,41.99178,-87.75747,2.0,1.0,1.0,1.0,82.0,2.0,90,2.0,90.0,11,41,71,346,117.0,17.0,4.0,4.93,4.96,4.92,4.9,4.94,4.81,4.91,0.83
