,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,has_availability,first_review,last_review,license,instant_bookable,host_id,host_acceptance_rate.1,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price.1,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
55,Joseph,2012-07-11,"Chicago, IL",within an hour,100%,97.0,0,West Ridge,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,West Ridge,17,3,2 shared baths,"[""Shower gel"", ""Bidet"", ""Refrigerator"", ""First aid kit"", ""Backyard"", ""Wifi"", ""Central heating"", ""Noise decibel monitors on property"", ""Coffee maker: french press, Keurig coffee machine"", ""Stove"", ""Exterior security cameras on property"", ""Breakfast"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Cleaning available during stay"", ""Hangers"", ""Oven"", ""Bathtub"", ""Outdoor furniture"", ""Paid dryer \u2013 In building"", ""Central air conditioning"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Hot water kettle"", ""Body soap"", ""Paid washer \u2013 In building"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""50 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix"", ""Game console: PS3"", ""Fire extinguisher"", ""Dishes and silverware"", ""Mini fridge"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Board games"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",20.0,t,2013-08-04,2024-09-09,R21000075752,0,2907254,97.0,25.0,42.01653,-87.68788,1.0,2.0,1.0,1.0,20.0,1.0,900,2.0,1125.0,5,35,65,155,31.2,13.0,2.0,4.62,4.7,4.48,4.79,4.82,4.52,4.66,1.47
82,Wrigley Hostel,2013-07-10,"Chicago, IL",Not defined,0%,0.0,1,Wrigleyville,"['email', 'phone']",t,1,Neighborhood highlights,Lake View,30,3,11 shared baths,"[""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Breakfast"", ""Oven"", ""Air conditioning"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Shared patio or balcony"", ""TV with standard cable"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Board games"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",30.0,t,2014-12-15,2023-10-11,2245608,1,7391164,96.0,12.0,41.94594,-87.65431,1.0,1.4,1.0,2.1,30.0,32.0,1125,32.0,812.7,29,59,89,104,31.2,1.0,0.0,4.53,4.71,4.61,4.75,4.71,4.83,4.6,3.53
117,Joseph,2012-07-11,"Chicago, IL",within an hour,100%,97.0,0,West Ridge,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,West Ridge,17,3,2 shared baths,"[""Shower gel"", ""Bidet"", ""Refrigerator"", ""First aid kit"", ""Backyard"", ""Wifi"", ""Central heating"", ""Coffee maker: french press, Keurig coffee machine"", ""Stove"", ""Exterior security cameras on property"", ""Breakfast"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Cleaning available during stay"", ""Hangers"", ""Oven"", ""Bathtub"", ""Outdoor furniture"", ""Paid dryer \u2013 In building"", ""Central air conditioning"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Hot water kettle"", ""Body soap"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""50 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix"", ""Game console: PS3"", ""Fire extinguisher"", ""Dishes and silverware"", ""Mini fridge"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Paid washer \u2013 In unit"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Board games"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",23.0,t,2014-08-21,2024-09-08,R21000075752,0,2907254,97.0,25.0,42.0168,-87.68771,1.0,2.0,1.0,1.0,23.0,1.0,90,2.0,90.0,17,47,77,352,31.2,11.0,4.0,4.78,4.86,4.66,4.91,4.89,4.66,4.83,1.36
141,Joseph,2012-07-11,"Chicago, IL",within an hour,100%,97.0,0,West Ridge,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,West Ridge,17,3,2 shared baths,"[""Shower gel"", ""Bidet"", ""Refrigerator"", ""First aid kit"", ""Wifi"", ""Central heating"", ""Stove"", ""Exterior security cameras on property"", ""Breakfast"", ""Dining table"", ""Shampoo"", ""Cleaning available during stay"", ""Hangers"", ""Oven"", ""Bathtub"", ""Outdoor furniture"", ""Paid dryer \u2013 In building"", ""Central air conditioning"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Hot water kettle"", ""Body soap"", ""Paid washer \u2013 In building"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""50 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix"", ""Game console: PS3"", ""Fire extinguisher"", ""Dishes and silverware"", ""Mini fridge"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Private backyard \u2013 Fully fenced"", ""Board games"", ""Host greets you"", ""Freezer"", ""Coffee maker: Keurig coffee machine, pour-over coffee"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",20.0,t,2014-10-21,2024-08-30,R21000075752,0,2907254,97.0,25.0,42.01653,-87.68788,1.0,2.0,1.0,1.0,20.0,1.0,900,2.0,1125.0,24,54,84,174,115.0,5.0,1.0,4.77,4.82,4.61,4.83,4.87,4.52,4.83,0.95
196,Joseph,2012-07-11,"Chicago, IL",within an hour,100%,97.0,0,West Ridge,"['email', 'phone', 'work_email']",t,1,Neighborhood highlights,West Ridge,17,3,2 shared baths,"[""Shower gel"", ""Bidet"", ""Refrigerator"", ""First aid kit"", ""Backyard"", ""Wifi"", ""Central heating"", ""Noise decibel monitors on property"", ""Coffee maker: french press, Keurig coffee machine"", ""Stove"", ""Exterior security cameras on property"", ""Breakfast"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Cleaning available during stay"", ""Hangers"", ""Oven"", ""Bathtub"", ""Outdoor furniture"", ""Paid dryer \u2013 In building"", ""Central air conditioning"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Hot water kettle"", ""Body soap"", ""Paid washer \u2013 In building"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""50 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix"", ""Game console: PS3"", ""Fire extinguisher"", ""Dishes and silverware"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Board games"", ""Host greets you"", ""Freezer"", ""Baking sheet"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",18.0,t,2015-05-19,2024-08-22,R21000075752,0,2907254,97.0,25.0,42.01653,-87.68788,2.0,2.0,1.0,1.0,18.0,1.0,900,2.0,900.0,23,53,83,83,31.2,11.0,1.0,4.72,4.82,4.67,4.86,4.84,4.69,4.8,1.64
298,Grace,2015-08-03,"Chicago, IL",within an hour,86%,100.0,0,Irving Park,"['email', 'phone']",t,1,Neighborhood highlights,Irving Park,17,3,1 shared bath,"[""Refrigerator"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Lockbox"", ""Air conditioning"", ""Long term stays allowed"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",40.0,t,2015-09-06,2022-09-18,R22000094630,0,40425145,100.0,3.0,41.9582,-87.73148,1.0,1.0,1.0,2.0,40.0,35.0,35,35.0,35.0,29,59,89,364,61.0,0.0,0.0,4.8,4.83,4.85,4.95,4.9,4.76,4.78,0.55
301,Hana,2015-08-17,"Chicago, IL",within a few hours,100%,100.0,0,Rogers Park,"['email', 'phone']",t,1,Neighborhood highlights,Rogers Park,17,3,1 shared bath,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Wifi"", ""Pets allowed"", ""Heating"", ""Dryer"", ""Shampoo"", ""Hangers"", ""Free parking on premises"", ""Bathtub"", ""Room-darkening shades"", ""TV"", ""Washer"", ""Body soap"", ""Coffee maker"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Clothing storage: closet and dresser"", ""Host greets you"", ""Kitchen"", ""Hot water""]",63.0,t,2016-05-20,2023-10-09,R23000095691,0,41690970,100.0,4.0,42.00787656057239,-87.66999620427688,2.0,1.0,2.0,1.0,63.0,32.0,65,32.0,65.0,30,60,90,365,8.0,1.0,0.0,5.0,5.0,5.0,4.75,5.0,5.0,4.88,0.08
316,Hana,2015-08-17,"Chicago, IL",within a few hours,100%,100.0,0,Rogers Park,"['email', 'phone']",t,1,Neighborhood highlights,Rogers Park,17,3,1 shared bath,"[""Refrigerator"", ""First aid kit"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Exterior security cameras on property"", ""Shampoo"", ""Hangers"", ""Oven"", ""TV"", ""Paid parking off premises"", ""Washer"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""Iron"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",56.0,t,2016-05-26,2018-09-18,R23000095691,0,41690970,100.0,4.0,42.00809,-87.67159,2.0,1.0,1.0,1.0,56.0,32.0,44,32.0,44.0,30,60,90,180,4.0,0.0,0.0,4.8,4.9,4.9,4.9,4.9,4.5,4.8,0.04
389,Wrigley Hostel,2013-07-10,"Chicago, IL",Not defined,0%,0.0,1,Wrigleyville,"['email', 'phone']",t,1,Neighborhood highlights,Lake View,30,3,11 shared baths,"[""First aid kit"", ""Self check-in"", ""Wifi"", ""Heating"", ""Dryer"", ""Hangers"", ""Paid parking off premises"", ""Air conditioning"", ""Washer"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoke alarm"", ""Keypad"", ""Kitchen"", ""Cooking basics"", ""Breakfast""]",64.0,t,2016-03-09,2023-06-10,2245608,1,7391164,96.0,12.0,41.9459,-87.65461,1.0,1.4,1.5,2.1,64.0,32.0,1125,32.0,812.7,29,59,89,104,157.0,0.0,0.0,4.56,4.67,4.52,4.7,4.9,4.82,4.66,1.51
497,Mo  &  Ganna,2011-07-26,"Chicago, IL",within an hour,100%,100.0,1,Lakeview,"['email', 'phone']",t,1,Neighborhood highlights,Lake View,17,3,1 shared bath,"[""Paid parking on premises"", ""Refrigerator"", ""First aid kit"", ""Self check-in"", ""Pets allowed"", ""Heating"", ""Exterior security cameras on property"", ""Pack \u2019n play/Travel crib - available upon request"", ""Coffee"", ""Shared beach access"", ""Shampoo"", ""Ethernet connection"", ""Cleaning available during stay"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Bathtub"", ""Room-darkening shades"", ""Paid parking off premises"", ""Paid dryer \u2013 In building"", ""Long term stays allowed"", ""Lockbox"", ""Clothing storage: closet"", ""Fast wifi \u2013 117 Mbps"", ""Hot water kettle"", ""Body soap"", ""Crib - available upon request"", ""Paid washer \u2013 In building"", ""Coffee maker"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Window guards"", ""Dishes and silverware"", ""Laundromat nearby"", ""50 inch HDTV with Amazon Prime Video, Disney+, Fire TV, HBO Max, Hulu, Netflix"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Window AC unit"", ""Toaster"", ""Shared patio or balcony"", ""Smoke alarm"", ""Trash compactor"", ""Single level home"", ""Extra pillows and blankets"", ""Folding or convertible high chair - available upon request"", ""Frigidaire stainless steel gas stove"", ""Free street parking"", ""Freezer"", ""Baking sheet"", ""Courtyard view"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",53.0,t,2016-07-25,2024-04-16,R22000092432,1,871911,100.0,6.0,41.94488,-87.65022,3.0,1.0,1.0,1.0,53.0,1.0,30,2.0,1125.0,4,22,48,134,151.0,3.0,0.0,4.84,4.87,4.84,4.95,4.91,4.98,4.74,1.52
