,host_name,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,first_review,last_review,license,instant_bookable,host_id,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
115,Andoni,2012-07-26,"Mexico City, Mexico",Not defined,0%,0,Santa María La Ribera,"['email', 'phone']",t,0,No specified,Cuauhtémoc,22,2,1.5 shared baths,"[""Washer"", ""Wifi"", ""TV with standard cable"", ""Breakfast"", ""Kitchen""]",Unknown,31/12/2030,31/12/2030,Without license,0,3059169,96.3,1.0,19.44614,-99.15868,2.0,1.4,1.4,1.8,870.0,1.0,1125,1.0,1125.0,0,0,0,0,0.0,0.0,0.0,4.8,4.71,4.9,4.8,5.0,4.9,4.8,0.15
258,Jordi,2014-05-30,"Mexico City, Mexico",a few days or more,0%,0,Not specified,"['email', 'phone']",t,1,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,47,2,1.5 shared baths,"[""Free parking on premises"", ""Washer"", ""TV"", ""Wifi"", ""Fire pit"", ""City skyline view"", ""Kitchen"", ""Outdoor dining area"", ""Dedicated workspace""]",t,31/12/2030,31/12/2030,Without license,1,16186468,96.3,8.0,19.4076432,-99.1739316,1.0,1.5,2.0,2.0,640.0,2.0,365,2.0,365.0,30,60,90,364,0.0,0.0,0.0,4.8,4.86,4.9,4.8,4.93,4.9,4.8,1.11
366,Tetsuo,2015-02-22,"Mexico City, Mexico",within a few hours,100%,1,Tabacalera,"['email', 'phone']",t,1,No specified,Cuauhtémoc,27,2,8 shared baths,"[""Iron"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Long term stays allowed"", ""Shampoo"", ""Hot water"", ""TV"", ""Patio or balcony"", ""Kitchen"", ""BBQ grill"", ""Smoke alarm"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",t,2015-05-23,2024-09-17,Without license,0,28190065,85.0,2.0,19.43883,-99.15283,2.9,1.4,1.0,1.8,290.0,2.0,1125,2.0,1125.0,28,55,85,360,34.0,6.0,2.0,4.44,4.74,4.47,4.74,4.71,4.71,4.59,0.3
444,Thor,2015-06-09,"Mexico City, Mexico",within a few hours,100%,0,Polanco,"['email', 'phone']",t,1,No specified,Cuauhtémoc,19,2,4 shared baths,"[""Carbon monoxide alarm"", ""Washer"", ""Wifi"", ""TV with standard cable"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Smoking allowed"", ""Smoke alarm""]",t,31/12/2030,31/12/2030,Without license,0,35406862,96.3,7.3,19.42884,-99.13573,2.9,1.4,1.0,1.8,1058.0,1.0,1125,1.0,1125.0,30,60,90,365,0.0,0.0,0.0,4.8,4.95,4.9,4.8,5.0,4.9,4.8,0.11
456,Antonio,2015-04-17,"Mexico City, Mexico",within a few hours,100%,1,Not specified,"['email', 'phone', 'work_email']",t,1,"Mexico City, Distrito Federal, Mexico",Venustiano Carranza,17,2,3 shared baths,"[""Carbon monoxide alarm"", ""Washer"", ""Wifi"", ""Backyard"", ""TV with standard cable"", ""Patio or balcony"", ""Smoking allowed"", ""Kitchen"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Microwave""]",t,2015-05-22,2024-02-26,Without license,1,31426842,94.0,2.0,19.44329,-99.2,2.9,3.0,1.0,1.8,550.0,1.0,1125,1.0,1125.0,0,0,0,267,85.0,9.0,0.0,4.85,4.84,4.93,4.94,4.91,4.69,4.93,0.75
480,Héctor,2015-04-27,"Mexico City, Mexico",Not defined,0%,0,Not specified,"['email', 'phone']",t,1,"Mexico City, Distrito Federal, Mexico",Cuauhtémoc,22,2,1 shared bath,"[""Wifi"", ""TV with standard cable"", ""Kitchen"", ""Essentials"", ""Shampoo""]",t,31/12/2030,31/12/2030,Without license,0,32080835,96.3,1.0,19.41918,-99.15167,1.0,1.0,1.0,1.0,200.0,1.0,1125,1.0,1125.0,28,58,88,363,0.0,0.0,0.0,4.8,4.9,4.9,4.8,4.78,4.9,4.8,4.78
537,Rafael,2015-08-18,"Mexico City, Mexico",within an hour,100%,0,Juárez,['phone'],t,1,"Mexico City, Distrito Federal, Mexico",Cuauhtémoc,19,2,5 shared baths,"[""Iron"", ""Carbon monoxide alarm"", ""Wifi"", ""Laundromat nearby"", ""Fire extinguisher"", ""Self check-in"", ""Essentials"", ""Shampoo"", ""Exterior security cameras on property"", ""Smoke alarm"", ""Building staff""]",t,2016-11-02,2024-09-07,Without license,0,41832187,97.0,2.0,19.42818,-99.16122,2.9,1.4,1.0,1.8,300.0,1.0,1125,1.0,1125.0,25,55,85,360,27.0,10.9,4.0,4.58,4.66,4.54,4.8,4.72,4.89,4.65,1.76
931,Eli Duarte,2016-03-21,"Dublin, Ireland",Not defined,0%,0,Not specified,"['email', 'phone']",t,1,"Mexico City, Distrito Federal, Mexico",Cuauhtémoc,22,2,1 shared bath,"[""Iron"", ""Wifi"", ""TV with standard cable"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Pets allowed"", ""Smoking allowed""]",t,31/12/2030,31/12/2030,Without license,0,63900765,96.3,1.0,19.40665,-99.15955,2.0,1.0,1.0,2.0,1058.0,1.6,34,4.0,34.0,30,60,90,365,0.0,0.0,0.0,4.8,4.92,4.9,4.8,5.0,4.9,4.8,0.01
1063,Thor,2015-06-09,"Mexico City, Mexico",within a few hours,100%,0,Polanco,"['email', 'phone']",t,1,"Ejido del Centro, Ciudad de México, Mexico",Cuauhtémoc,19,2,1 shared bath,"[""Dryer"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Smoking allowed"", ""Smoke alarm"", ""Hangers""]",t,31/12/2030,31/12/2030,Without license,0,35406862,96.3,7.3,19.42889,-99.13582,2.9,1.0,1.0,1.8,1058.0,1.0,1125,1.0,1125.0,28,58,88,363,0.0,0.0,0.0,4.8,5.0,4.9,4.8,4.91,4.9,4.8,1.48
1095,Alejandro,2016-05-24,"Mexico City, Mexico",a few days or more,10%,0,Not specified,"['email', 'phone']",t,1,No specified,Iztapalapa,17,2,1 shared bath,"[""Wifi"", ""Essentials""]",t,2016-07-28,2019-08-03,Without license,1,73842404,96.3,2.0,19.37201,-99.2,2.0,1.0,1.0,1.0,222.0,1.0,1125,1.0,1125.0,30,60,89,89,2.0,0.0,0.0,4.5,4.5,4.5,4.5,4.9,5.0,5.0,0.02
