,host_name,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,first_review,last_review,license,instant_bookable,host_id,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
48,Fernando,2010-08-09,"Mexico City, Mexico",within an hour,100%,1,Condesa,"['email', 'phone', 'work_email']",t,1,No specified,Cuauhtémoc,33,3,1 private bath,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Dishwasher"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""TV with standard cable"", ""Patio or balcony"", ""Kitchen"", ""Oven"", ""Smoke alarm"", ""Stove"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",t,2015-01-05,2019-10-05,Without license,1,196253,93.0,13.0,19.41124,-99.17748,3.0,1.4,1.0,1.8,890.0,1.0,365,2.0,365.0,14,33,43,312,7.0,0.0,0.0,4.71,4.71,5.0,5.0,5.0,5.0,4.86,0.06
62,Martha Laura,2012-06-01,"Mexico City, Mexico",within an hour,100%,1,Not specified,"['email', 'phone', 'work_email']",t,1,"Mexico City, DF, Mexico",Álvaro Obregón,15,3,1 private bath,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""High chair"", ""Paid washer \u2013 In building"", ""HDTV with standard cable, Amazon Prime Video, Apple TV, Netflix"", ""Heating"", ""Fire pit"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Outdoor kitchen"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""Kitchen"", ""BBQ grill"", ""Outdoor dining area"", ""Paid parking off premises"", ""Smoke alarm"", ""Fast wifi \u2013 85 Mbps"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Indoor fireplace: gas"", ""Paid dryer \u2013 In building"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",t,2013-11-12,2024-01-02,Without license,0,2518152,92.0,9.0,19.34735,-99.19016,2.0,1.4,1.0,1.8,1318.0,1.0,1125,1.0,1125.0,1,31,61,336,28.0,1.0,0.0,4.96,5.0,5.0,5.0,4.96,4.93,4.93,0.21
75,Martha Laura,2012-06-01,"Mexico City, Mexico",within an hour,100%,1,Not specified,"['email', 'phone', 'work_email']",t,1,"Mexico City, Federal District, Mexico",Álvaro Obregón,15,3,1 private bath,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""Wifi"", ""Paid washer \u2013 In building"", ""Heating"", ""Fire pit"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Resort access"", ""Outdoor kitchen"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""Pocket wifi"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""BBQ grill"", ""Outdoor dining area"", ""Paid parking off premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Indoor fireplace: gas"", ""Paid dryer \u2013 In building"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",t,2014-03-04,2024-07-28,Without license,0,2518152,92.0,9.0,19.3486,-99.19296,2.0,1.4,1.0,1.8,2043.0,1.0,1125,1.0,1125.0,17,47,77,352,58.0,8.0,0.0,4.88,4.84,4.97,4.89,4.93,4.96,4.86,0.45
100,Fernando,2010-08-09,"Mexico City, Mexico",within an hour,100%,1,Condesa,"['email', 'phone', 'work_email']",t,1,No specified,Cuauhtémoc,33,3,1 bath,"[""Dryer"", ""Iron"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Free parking on premises"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Hangers"", ""Fire extinguisher"", ""Host greets you"", ""Kitchen"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Cooking basics"", ""Smoke alarm"", ""Hair dryer""]",t,2019-02-08,2019-02-08,Without license,1,196253,93.0,13.0,19.41346,-99.1775,3.0,1.0,1.0,1.0,1872.0,1.0,365,2.0,365.0,0,0,0,253,1.0,0.0,0.0,4.8,5.0,5.0,5.0,4.9,5.0,4.8,0.01
135,Hermann,2012-10-12,"Mexico City, Mexico",within an hour,100%,0,Colonia Cuauhtémoc,"['email', 'phone']",t,1,"Mexico City, Federal District, Mexico",Cuauhtémoc,33,3,1 bath,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Breakfast"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Cooking basics"", ""Hair dryer""]",t,2013-01-05,2024-02-11,Without license,1,3850198,89.0,21.0,19.43059,-99.17073,2.0,1.0,1.0,1.0,1275.0,2.0,730,2.0,1125.0,23,42,72,347,25.0,1.0,0.0,4.84,4.88,4.84,5.0,5.0,4.84,4.8,0.18
158,Hermann,2012-10-12,"Mexico City, Mexico",within an hour,100%,0,Colonia Cuauhtémoc,"['email', 'phone']",t,1,No specified,Cuauhtémoc,33,3,1 bath,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Paid parking on premises"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""Fire extinguisher"", ""Cooking basics"", ""Paid parking off premises""]",t,2013-03-02,2022-01-01,Without license,1,3850198,89.0,21.0,19.43078,-99.17011,2.0,1.0,1.0,1.0,1275.0,2.0,730,2.0,1125.0,24,44,74,345,31.0,0.0,0.0,4.97,4.97,4.94,5.0,5.0,4.97,4.97,0.22
159,Hermann,2012-10-12,"Mexico City, Mexico",within an hour,100%,0,Colonia Cuauhtémoc,"['email', 'phone']",t,1,No specified,Cuauhtémoc,33,3,1 bath,"[""Iron"", ""Washer"", ""Wifi"", ""Dishes and silverware"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",t,2014-08-03,2024-02-18,Without license,1,3850198,89.0,21.0,19.43068,-99.17007,2.0,1.0,1.0,1.0,1159.0,2.0,730,2.0,1125.0,25,40,70,345,55.0,2.0,0.0,4.98,4.98,4.87,5.0,4.98,4.98,4.89,0.44
170,Hermann,2012-10-12,"Mexico City, Mexico",within an hour,100%,0,Colonia Cuauhtémoc,"['email', 'phone']",t,1,"Mexico City, Federal District, Mexico",Cuauhtémoc,33,3,1 bath,"[""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Cooking basics"", ""Fire extinguisher"", ""Smoking allowed"", ""Hair dryer"", ""Building staff""]",t,2016-01-05,2024-04-21,Without license,1,3850198,89.0,21.0,19.43052,-99.17003,2.0,1.0,1.0,1.0,1353.0,2.0,730,2.0,1125.0,11,32,62,337,38.0,8.0,0.0,4.92,5.0,4.97,5.0,5.0,4.97,4.95,0.36
214,Suites,2012-05-03,"Mexico City, Mexico",within an hour,100%,0,Juárez,"['email', 'phone']",t,1,"Juárez, Ciudad de México, Mexico",Cuauhtémoc,33,3,1 private bath,"[""Iron"", ""TV"", ""Wifi"", ""Elevator"", ""Heating"", ""Kitchen"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Paid parking off premises"", ""Cooking basics"", ""Single level home"", ""Hangers"", ""Microwave""]",t,2019-03-01,2020-08-30,Without license,0,2281290,98.0,7.3,19.42644,-99.161,4.0,1.0,1.0,3.0,1159.0,2.0,1125,2.0,1125.0,0,0,0,266,4.0,0.0,0.0,4.5,5.0,5.0,4.5,5.0,5.0,4.75,0.06
403,Thor,2015-06-09,"Mexico City, Mexico",within a few hours,100%,0,Polanco,"['email', 'phone']",t,1,"Mexico City, Distrito Federal, Mexico",Cuauhtémoc,42,3,0 zero,"[""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Resort access"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Shared hot tub"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""EV charger"", ""Smoke alarm"", ""Shared pool"", ""Fire extinguisher"", ""Gym"", ""Hair dryer"", ""Building staff""]",t,2015-10-17,2021-11-08,Without license,1,35406862,96.3,7.3,19.42368,-99.17148,2.9,1.4,1.4,1.8,1058.0,1.0,1125,1.0,1125.0,30,60,90,365,6.0,0.0,0.0,4.8,4.9,4.9,5.0,4.9,4.9,4.8,0.06
